circuit_id,circuit_name,country,race_count,avg_abs_position_change,large_gain_rate,large_loss_rate,non_front_row_winner_rate,volatility_index
miami,Miami International Autodrome,USA,4,2.9744,0.1538,0.0897,0.7500,0.3135
monza,Autodromo Nazionale di Monza,Italy,7,3.7737,0.1387,0.1606,0.4286,0.2322
sochi,Sochi Autodrom,Russia,3,4.0169,0.1525,0.2034,0.3333,0.2220
interlagos,Autódromo José Carlos Pace,Brazil,6,4.2627,0.1610,0.1695,0.3333,0.2153
americas,Circuit of the Americas,USA,6,3.7373,0.1610,0.1610,0.3333,0.2127
hungaroring,Hungaroring,Hungary,7,3.6838,0.1838,0.1471,0.2857,0.2034
vegas,Las Vegas Strip Street Circuit,USA,3,4.7333,0.2167,0.2333,0.0000,0.1567
spa,Circuit de Spa-Francorchamps,Belgium,7,3.0741,0.0815,0.0963,0.2857,0.1472
jeddah,Jeddah Corniche Circuit,Saudi Arabia,5,2.9899,0.1313,0.1111,0.2000,0.1459
silverstone,Silverstone Circuit,UK,8,3.4088,0.1384,0.1509,0.1250,0.1381
bahrain,Bahrain International Circuit,Bahrain,8,3.6478,0.1258,0.1447,0.1250,0.1312
baku,Baku City Circuit,Azerbaijan,6,3.5043,0.1026,0.1197,0.1667,0.1269
albert_park,Albert Park Grand Prix Circuit,Australia,5,4.2828,0.1717,0.1818,0.0000,0.1232
imola,Autodromo Enzo e Dino Ferrari,Italy,5,3.9082,0.1837,0.1633,0.0000,0.1224
losail,Losail International Circuit,Qatar,4,3.6750,0.1625,0.1750,0.0000,0.1175
villeneuve,Circuit Gilles Villeneuve,Canada,5,3.6667,0.1717,0.1515,0.0000,0.1141
zandvoort,Circuit Park Zandvoort,Netherlands,5,3.5773,0.1443,0.1649,0.0000,0.1072
rodriguez,Autódromo Hermanos Rodríguez,Mexico,6,3.3051,0.1271,0.1610,0.0000,0.0992
red_bull_ring,Red Bull Ring,Austria,9,3.4011,0.1356,0.1356,0.0000,0.0949
shanghai,Shanghai International Circuit,China,3,3.4915,0.1356,0.1186,0.0000,0.0898
marina_bay,Marina Bay Street Circuit,Singapore,5,3.2041,0.1327,0.1224,0.0000,0.0898
ricard,Circuit Paul Ricard,France,3,2.9322,0.1017,0.0847,0.0000,0.0661
yas_marina,Yas Marina Circuit,UAE,7,2.6571,0.0857,0.0857,0.0000,0.0600
catalunya,Circuit de Barcelona-Catalunya,Spain,7,2.5145,0.0652,0.0725,0.0000,0.0478
monaco,Circuit de Monaco,Monaco,6,2.4000,0.0500,0.0917,0.0000,0.0475
suzuka,Suzuka Circuit,Japan,5,2.4141,0.0606,0.0606,0.0000,0.0424
