constructor_id,constructor_name,records,classified_rate,incident_rate,mechanical_or_other_rate,avg_points
mercedes,Mercedes,304,0.9145,0.0197,0.0658,11.9819
mclaren,McLaren,304,0.9013,0.0263,0.0724,7.9638
red_bull,Red Bull,304,0.8914,0.0362,0.0724,12.4194
toro_rosso,Toro Rosso,42,0.8810,0.0714,0.0476,2.0238
alfa,Alfa Romeo,208,0.8654,0.0529,0.0817,0.7067
ferrari,Ferrari,304,0.8651,0.0461,0.0888,9.1924
sauber,Sauber,96,0.8646,0.0000,0.1354,0.7708
aston_martin,Aston Martin,227,0.8546,0.0396,0.1057,2.5198
rb,RB F1 Team,96,0.8542,0.0000,0.1458,1.3333
alpine,Alpine F1 Team,228,0.8465,0.0088,0.1447,2.2719
alphatauri,AlphaTauri,166,0.8373,0.0482,0.1145,1.8434
racing_point,Racing Point,76,0.8289,0.0658,0.1053,3.7237
haas,Haas F1 Team,304,0.8257,0.0526,0.1217,0.6480
renault,Renault,76,0.8026,0.0395,0.1579,3.5789
williams,Williams,303,0.7888,0.0594,0.1518,0.6568
