constructor_id,constructor_name,nationality,seasons,records,total_points,avg_points_per_car,wins,podiums,top10s,avg_finish_position,avg_grid,avg_qualifying_position
mercedes,Mercedes,German,8,312,3802.5000,12.1875,48,137,269,5.6026,5.1608,4.9006
red_bull,Red Bull,Austrian,8,312,3801.5000,12.1843,71,136,248,6.2147,6.0294,5.9550
ferrari,Ferrari,Italian,8,312,2883.5000,9.2420,13,88,247,7.1122,6.1987,5.9840
mclaren,McLaren,British,8,312,2492.0000,7.9872,21,76,227,7.9327,7.2981,7.3462
aston_martin,Aston Martin,British,6,235,572.0000,2.4340,0,9,101,11.6979,12.2478,12.5812
alpine,Alpine F1 Team,French,6,236,540.0000,2.2881,1,6,106,12.0678,12.1410,12.1441
alphatauri,AlphaTauri,Italian,4,166,306.0000,1.8434,1,2,57,12.3735,12.0503,12.1687
racing_point,Racing Point,British,2,76,283.0000,3.7237,1,4,42,10.6316,11.4667,11.6974
renault,Renault,French,2,76,272.0000,3.5789,0,3,42,10.6184,9.8933,9.8947
haas,Haas F1 Team,American,8,312,214.0000,0.6859,0,0,58,14.3237,14.3039,14.4759
williams,Williams,British,8,311,204.0000,0.6559,0,3,50,14.5691,15.1678,15.4710
alfa,Alfa Romeo,Swiss,5,208,147.0000,0.7067,0,0,43,13.3846,14.0796,14.3865
rb,RB F1 Team,Italian,3,104,140.0000,1.3462,0,1,34,12.7500,11.3942,11.4038
toro_rosso,Toro Rosso,Italian,1,42,85.0000,2.0238,0,2,20,11.5000,12.6829,12.7561
sauber,Sauber,Swiss,2,96,74.0000,0.7708,0,1,15,14.5938,15.3854,15.5053
audi,Audi,German,1,8,2.0000,0.2500,0,0,1,14.7500,12.6250,12.6250
cadillac,Cadillac F1 Team,American,1,8,0.0000,0.0000,0,0,0,16.6250,19.3750,19.6250
