rank,driver_id,driver_name,points,podiums,top10s
1,antonelli,Andrea Kimi Antonelli,93.0000,4,4
2,russell,George Russell,67.0000,2,4
3,leclerc,Charles Leclerc,46.0000,2,4
4,hamilton,Lewis Hamilton,43.0000,1,4
5,norris,Lando Norris,38.0000,1,3
6,piastri,Oscar Piastri,33.0000,2,2
7,max_verstappen,Max Verstappen,22.0000,0,3
8,bearman,Oliver Bearman,16.0000,0,2
9,gasly,Pierre Gasly,15.0000,0,3
10,lawson,Liam Lawson,8.0000,0,2
11,colapinto,Franco Colapinto,7.0000,0,2
12,arvid_lindblad,Arvid Lindblad,4.0000,0,1
13,sainz,Carlos Sainz,4.0000,0,2
14,hadjar,Isack Hadjar,4.0000,0,1
15,bortoleto,Gabriel Bortoleto,2.0000,0,1
16,ocon,Esteban Ocon,1.0000,0,1
17,albon,Alexander Albon,1.0000,0,1
18,perez,Sergio Pérez,0.0000,0,0
19,stroll,Lance Stroll,0.0000,0,0
20,alonso,Fernando Alonso,0.0000,0,0
21,bottas,Valtteri Bottas,0.0000,0,0
22,hulkenberg,Nico Hülkenberg,0.0000,0,0
