driver_id,driver_name,records,classified_rate,incident_rate,mechanical_or_other_rate,avg_points
hamilton,Lewis Hamilton,151,0.9338,0.0132,0.0530,12.8311
piastri,Oscar Piastri,70,0.9286,0.0000,0.0714,10.4000
raikkonen,Kimi Räikkönen,58,0.9138,0.0345,0.0517,0.9828
kubica,Robert Kubica,23,0.9130,0.0000,0.0870,0.0435
max_verstappen,Max Verstappen,152,0.9079,0.0395,0.0526,17.3125
norris,Lando Norris,152,0.9079,0.0263,0.0658,8.8421
giovinazzi,Antonio Giovinazzi,60,0.9000,0.0667,0.0333,0.3500
bearman,Oliver Bearman,27,0.8889,0.0000,0.1111,1.7037
ricciardo,Daniel Ricciardo,107,0.8785,0.0280,0.0935,3.1215
hadjar,Isack Hadjar,24,0.8750,0.0000,0.1250,2.0833
russell,George Russell,152,0.8684,0.0395,0.0921,6.2697
kvyat,Daniil Kvyat,38,0.8684,0.0789,0.0526,1.8158
perez,Sergio Pérez,126,0.8651,0.0397,0.0952,8.3810
mick_schumacher,Mick Schumacher,44,0.8636,0.0682,0.0682,0.2727
leclerc,Charles Leclerc,152,0.8618,0.0526,0.0855,10.1908
alonso,Fernando Alonso,114,0.8596,0.0088,0.1316,4.2193
bottas,Valtteri Bottas,128,0.8594,0.0391,0.1016,6.4453
hulkenberg,Nico Hülkenberg,96,0.8542,0.0104,0.1354,1.4583
ocon,Esteban Ocon,130,0.8538,0.0077,0.1385,2.6000
zhou,Guanyu Zhou,68,0.8529,0.0441,0.1029,0.2353
colapinto,Franco Colapinto,27,0.8519,0.0000,0.1481,0.1852
gasly,Pierre Gasly,152,0.8487,0.0263,0.1250,2.7434
tsunoda,Yuki Tsunoda,114,0.8421,0.0351,0.1228,0.9474
sainz,Carlos Sainz,151,0.8411,0.0464,0.1126,7.1954
vettel,Sebastian Vettel,80,0.8375,0.0750,0.0875,4.4125
antonelli,Andrea Kimi Antonelli,24,0.8333,0.0000,0.1667,5.6250
stroll,Lance Stroll,150,0.8333,0.0600,0.1067,1.7933
lawson,Liam Lawson,35,0.8286,0.0000,0.1714,1.2571
albon,Alexander Albon,129,0.8217,0.0310,0.1473,2.3876
bortoleto,Gabriel Bortoleto,24,0.7917,0.0000,0.2083,0.7917
kevin_magnussen,Kevin Magnussen,104,0.7885,0.0577,0.1538,0.5673
latifi,Nicholas Latifi,61,0.7869,0.1475,0.0656,0.1475
sargeant,Logan Sargeant,36,0.7500,0.0278,0.2222,0.0278
mazepin,Nikita Mazepin,22,0.7273,0.1364,0.1364,0.0000
grosjean,Romain Grosjean,36,0.7222,0.1111,0.1667,0.2778
