grid,records,avg_finish_position,win_rate,podium_rate,top10_rate
1,986,5.9544,0.4128,0.6116,0.7454
2,977,6.9918,0.2375,0.5333,0.7134
3,981,7.8603,0.1223,0.4495,0.6891
4,983,8.5514,0.0631,0.3408,0.6633
5,983,9.3937,0.0478,0.2614,0.6236
6,976,9.8740,0.0359,0.1926,0.5994
7,987,10.2584,0.0223,0.1388,0.5917
8,981,10.8002,0.0163,0.1101,0.5515
9,983,10.9369,0.0041,0.0926,0.5666
10,983,11.7579,0.0092,0.0610,0.4964
11,984,12.1524,0.0051,0.0417,0.4593
12,978,12.1339,0.0031,0.0399,0.4560
13,978,12.7720,0.0041,0.0337,0.4090
14,972,13.2397,0.0051,0.0309,0.3601
15,964,13.5280,0.0010,0.0135,0.3485
16,952,13.5861,0.0021,0.0158,0.3340
17,940,14.1968,0.0021,0.0096,0.2968
18,905,14.7901,0.0011,0.0066,0.2519
19,891,14.8575,0.0011,0.0022,0.2200
20,873,15.2646,0.0000,0.0057,0.2131
21,697,15.9440,0.0000,0.0043,0.1894
22,657,15.7900,0.0015,0.0046,0.1537
23,453,16.2472,0.0000,0.0044,0.1876
24,429,16.7343,0.0000,0.0047,0.1702
25,301,16.2458,0.0000,0.0033,0.1960
26,248,16.9315,0.0000,0.0121,0.1532
27,46,19.6739,0.0000,0.0000,0.0870
28,30,19.4333,0.0000,0.0333,0.1667
29,25,21.2400,0.0000,0.0000,0.0800
30,19,22.7895,0.0000,0.0000,0.0526
31,18,19.0556,0.0000,0.0000,0.1667
32,17,16.5294,0.0000,0.0588,0.3529
33,13,19.4615,0.0000,0.0000,0.1538
34,1,22.0000,0.0000,0.0000,0.0000
